region,year,group,t_ko_group,id,name,t_ko_name,activitySourceCode,unitTypes,activityTypeId,factor_CO2_ef(kgCO2/TJ),factor_CO2_ef,factor_CO2_unit,factor_CH4_ef(kgCH4/TJ),factor_CH4_ef,factor_CH4_unit,factor_N2O_ef(kgN2O/TJ),factor_N2O_ef,factor_N2O_unit,sett_efNumeratorUnitId,sett_efDenominatorUnitId,netCalorificValue,netCalorificUnit,sett_calorificNumeratorUnitId,sett_calorificDenominatorUnitId
kr,2012,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,55502.80,55.5028,kgCO2/GJ,0.5826,0.0005826,kgCH4/GJ,0.832,0.000832,kgN2O/GJ,GS-KG,EN-GJ,2.81,GJ/steam-ton,EN-GJ,WG-TON
kr,2013,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,56279.00,56.2790,kgCO2/GJ,0.576,0.000576,kgCH4/GJ,0.824,0.000824,kgN2O/GJ,GS-KG,EN-GJ,2.814,GJ/steam-ton,EN-GJ,WG-TON
kr,2014,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,56279,56.2790,kgCO2/GJ,0.576,0.000576,kgCH4/GJ,0.824,0.000824,kgN2O/GJ,GS-KG,EN-GJ,2.814,GJ/steam-ton,EN-GJ,WG-TON
kr,2015,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,53366,53.3660,kgCO2/GJ,0.5836,0.0005836,kgCH4/GJ,0.8465,0.0008465,kgN2O/GJ,GS-KG,EN-GJ,2.816,GJ/steam-ton,EN-GJ,WG-TON
kr,2016,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,52117,52.1170,kgCO2/GJ,0.5655,0.0005655,kgCH4/GJ,0.8151,0.0008151,kgN2O/GJ,GS-KG,EN-GJ,2.806,GJ/steam-ton,EN-GJ,WG-TON
kr,2017,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,52145,52.1450,kgCO2/GJ,0.5747,0.0005747,kgCH4/GJ,0.8186,0.0008186,kgN2O/GJ,GS-KG,EN-GJ,2.822,GJ/steam-ton,EN-GJ,WG-TON
kr,2018,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,52279,52.2790,kgCO2/GJ,0.5669,0.0005669,kgCH4/GJ,0.8282,0.0008282,kgN2O/GJ,GS-KG,EN-GJ,2.828,GJ/steam-ton,EN-GJ,WG-TON
kr,2019,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,45997,45.9970,kgCO2/GJ,0.663,0.000663,kgCH4/GJ,0.7613,0.0007613,kgN2O/GJ,GS-KG,EN-GJ,2.836,GJ/steam-ton,EN-GJ,WG-TON
kr,2020,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,55129,55.1290,kgCO2/GJ,0.8604,0.0008604,kgCH4/GJ,0.9252,0.0009252,kgN2O/GJ,GS-KG,EN-GJ,2.8307,GJ/steam-ton,EN-GJ,WG-TON
kr,2021,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,55129,55.1290,kgCO2/GJ,0.8604,0.0008604,kgCH4/GJ,0.9252,0.0009252,kgN2O/GJ,GS-KG,EN-GJ,2.8307,GJ/steam-ton,EN-GJ,WG-TON
kr,2022,heat,열,heat-steam_energy-kr-jeonbook,Korea Jeonbook purchased steam,(열)전북집단에너지,0062,weight,indirect-steam,55129,55.1290,kgCO2/GJ,0.8604,0.0008604,kgCH4/GJ,0.9252,0.0009252,kgN2O/GJ,GS-KG,EN-GJ,2.8307,GJ/steam-ton,EN-GJ,WG-TON
